FBA results
model: iCTH669

time to solve: 0:00:00.025000
status: optimal
objective value: 8.45356619

reaction	lb	level	ub
----------------------------------------------------------------------------------
protein_biomass	0.0	0.22438080000000024	1000.0
NA_biomass	0.22438080000000002	0.22438080000000002	0.22438080000000002
lipid_biomass	0.0	0.22438080000013505	1000.0
glyco_biomass	0.0	0.2243808	1000.0
other_biomass	0.0	0.22438080000005936	1000.0
BIOMASS	0.2243808	0.2243808	0.2243808
PPA	0.7805632839975497	0.7805632839975497	0.7805632839975497
ACLS	0.0	0.18161432212653017	1000.0
PDHam1hi	0.0	0.08815159618957438	1000.0
ECH	0.0	0.6009131392962558	1000.0
AHEXASE3	0.0	0.0	1000.0
CLBH	0.0	0.0	0.0
PPBNGS	0.0	5.694385041060564e-18	1000.0
HMBS	0.0	1.423596260265141e-18	1000.0
ATPS	-1000.0	-5.475670147743856	1000.0
NADK	0.0	0.00027500329359791205	1000.0
ADK1	-1000.0	1.4571531007600937	1000.0
ADK2	-1000.0	0.0	1000.0
DPCOAK	0.0	0.0	1000.0
UREA	0.0	0.0	1000.0
NMNAT	-1000.0	0.0	1000.0
HAMR	-1000.0	0.0	1000.0
NDPK2	-1000.0	0.1648440422037919	1000.0
UMPK	-1000.0	0.08048207479972608	1000.0
FMNAT	0.0	0.0	1000.0
METAT	0.0	2.847192520530282e-18	1000.0
R00182	-1000.0	0.0	1000.0
BPNT	0.0	0.0358706589765695	1000.0
ADPT	0.0	0.03305496694467943	1000.0
AHCi	0.0	2.8471925205302822e-18	1000.0
PPDK	0.0	0.0	0.0
PFL	-1000.0	-0.0629216638330348	1000.0
ME2	0.0	9.992605002740811	1000.0
ACALD	0.0	8.453566185607658	1000.0
ACALDy	0.0	0.0	1000.0
PTAr	-1000.0	-0.11009466400148818	1000.0
GLU5K	0.0	0.040990447232194284	1000.0
GLUDy	-1000.0	-1.6596758693832518	1000.0
GLNS	0.0	0.2519425522316883	1000.0
NADS2	0.0041588653352849225	0.0041588653352849225	0.0041588653352849225
ACGS	0.0	-3.874379932159684e-18	1000.0
ICDHyr	0.0	0.19034463735322055	1000.0
OXSCL	0.0	0.0	1000.0
GALU	0.056393947804460526	0.056393947804460526	0.056393947804460526
ACKr	-1000.0	-0.11009466400148818	1000.0
NDPK1	-1000.0	-9.063146783828858	1000.0
GK1	-1000.0	1.5372440533659568	1000.0
PPGPPDP	0.0	0.0	1000.0
CS	0.0	0.19034463735322055	1000.0
ASPTA	0.0	0.4827425214540141	1000.0
AGT	-1000.0	-0.20727370279570187	1000.0
GLYAT	-1000.0	0.0	1000.0
GLYTA	-1000.0	-0.20727370279570187	1000.0
ALAR	0.0	0.07928711524221019	1000.0
UAG2EMA	0.0	0.0	1000.0
UAGP2UAG	0.07392095964573371	0.07392095964573371	0.07392095964573371
UAG4Ei	0.0	0.021168550701489743	1000.0
UAG2E	0.0	0.0017592613932385904	1000.0
GTPCII2	0.0	0.0	1000.0
NTPP2	0.0	1.5255951991637888	1000.0
NTPP3	0.0	0.0	1000.0
NTPP4	0.0	0.0	1000.0
NTPH	0.0	0.0	1000.0
GTPDPK	0.0	0.0	1000.0
PEPCK_re	0.0	10.600390837194816	1000.0
DAPDC	0.0	0.08456765392251159	1000.0
LYSDC	0.0	0.0	1000.0
HOGL	-1000.0	0.0	1000.0
ASPK	0.0	0.27627108833756914	1000.0
ASNS2	0.043797632360470316	0.043797632360470316	0.043797632360470316
ASP1DC	0.0	0.0	1000.0
ADSK	0.0	0.03587065897656949	1000.0
CYTK1	-1000.0	0.11989488813036553	1000.0
CYTDK1	0.0	0.0	1000.0
UTCY	0.0	0.0	1000.0
CYTDK2	0.0	0.0	1000.0
SADT	0.03587065897656949	0.03587065897656949	0.03587065897656949
RBFK	0.0	0.0	1000.0
DCTPD2	0.0	0.0	1000.0
NDPK3	-1000.0	0.11983272391753344	1000.0
CTPS1	0.0	0.013528815197802482	1000.0
CTPS2	0.0	0.0	1000.0
CBPS	0.0	0.06726798250881448	1000.0
ASNS1	0.0	0.0	1000.0
