FBA results
model: iCTH669

time to solve: 0:00:00.022998
status: optimal
objective value: 6.98847663

reaction	lb	level	ub
----------------------------------------------------------------------------------
protein_biomass	0.0	0.198452575	1000.0
NA_biomass	0.198452575	0.198452575	0.198452575
lipid_biomass	0.0	0.19845257500000002	1000.0
glyco_biomass	0.0	0.198452575	1000.0
other_biomass	0.0	0.19845257500000016	1000.0
BIOMASS	0.198452575	0.198452575	0.198452575
PPA	14.34158481503696	14.34158481503696	14.34158481503696
ACLS	0.0	0.0	1000.0
PDHam1hi	0.0	0.2385932358605546	1000.0
ECH	0.0	0.0	1000.0
AHEXASE3	0.0	0.0	1000.0
CLBH	0.0	0.0	0.0
PPBNGS	0.0	-5.3527288718034975e-14	1000.0
HMBS	0.0	-1.3381822179508744e-14	1000.0
ATPS	-1000.0	10.339394039359828	1000.0
NADK	0.0	0.00024322540853691482	1000.0
ADK1	-1000.0	-8.948416508149721	1000.0
ADK2	-1000.0	9.00071474743088e-13	1000.0
DPCOAK	0.0	0.0	1000.0
UREA	0.0	7.747641268556889e-14	1000.0
NMNAT	-1000.0	0.0	1000.0
HAMR	-1000.0	0.0	1000.0
NDPK2	-1000.0	0.14028996602184698	1000.0
UMPK	-1000.0	0.07118200392080977	1000.0
FMNAT	0.0	0.0	1000.0
METAT	0.0	-2.6763644359017484e-14	1000.0
R00182	-1000.0	-0.029235314727005867	1000.0
BPNT	0.0	0.23158287026860408	1000.0
ADPT	0.0	0.0	1000.0
AHCi	0.0	-2.676364435901748e-14	1000.0
PPDK	-1000.0	10.407810835846513	1000.0
PFL	-1000.0	9.466436354768796	1000.0
ME2	0.0	0.05775545843628914	1000.0
ACALD	0.0	6.9884766314891715	1000.0
ACALDy	0.0	0.0	1000.0
PTAr	-1000.0	1.7412133434030275	1000.0
GLU5K	0.0	0.03625381406794388	1000.0
GLUDy	-1000.0	-1.39044224641214	1000.0
GLNS	0.0	0.26156605718065323	1000.0
NADS2	0.003678289474344279	0.003678289474344279	0.003678289474344279
ACGS	0.0	0.0	1000.0
ICDHyr	0.0	0.16834944620996037	1000.0
OXSCL	0.0	0.0	1000.0
GALU	0.04987736988289271	0.04987736988289271	0.04987736988289271
ACKr	-1000.0	1.7412133434030275	1000.0
NDPK1	-1000.0	-0.5075555859135175	1000.0
GK1	-1000.0	0.010302775960386897	1000.0
PPGPPDP	0.0	0.0	1000.0
CS	0.0	0.1683494462099604	1000.0
ASPTA	0.0	0.3495089156657893	1000.0
AGT	-1000.0	-0.18332228091509312	1000.0
GLYAT	-1000.0	0.0	1000.0
GLYTA	-1000.0	-0.18332228091419311	1000.0
ALAR	0.0	0.07012512739118497	1000.0
UAG2EMA	0.0	-2.8451166100503116e-17	1000.0
UAGP2UAG	0.0653790555527267	0.0653790555527267	0.0653790555527267
UAG4Ei	0.0	0.018722428103151372	1000.0
UAG2E	0.0	0.0015559707140102616	1000.0
GTPCII2	0.0	0.0	1000.0
NTPP2	0.0	0.0	1000.0
NTPP3	0.0	0.0	1000.0
NTPP4	0.0	0.0	1000.0
NTPH	0.0	0.0	1000.0
GTPDPK	0.0	0.0	1000.0
PEPCK_re	0.0	0.5178583618739043	1000.0
DAPDC	0.0	0.07479547573857602	1000.0
LYSDC	0.0	0.0	1000.0
HOGL	-1000.0	0.0	1000.0
ASPK	0.0	0.16689619850921428	1000.0
ASNS2	0.0	0.0	1000.0
ASP1DC	0.0	0.0	1000.0
ADSK	0.0	0.23158287026860405	1000.0
CYTK1	-1000.0	0.10604048688122583	1000.0
CYTDK1	0.0	0.0	1000.0
UTCY	0.0	0.0	1000.0
CYTDK2	0.0	0.0	1000.0
SADT	0.23158287026860408	0.23158287026860408	0.23158287026860408
RBFK	0.0	0.0	1000.0
DCTPD2	0.0	0.0	1000.0
NDPK3	-1000.0	0.10279411194056211	1000.0
CTPS1	0.0	0.011965498887173194	1000.0
CTPS2	0.0	0.0	1000.0
CBPS	0.0	0.059494860272938044	1000.0
ASNS1	0.03873661614899784	0.03873661614899784	0.03873661614899784
PSP	-1000.0	0.0	1000.0
SERAT	0.0	0.0	1000.0
TMDPPK	0.0	0.0	1000.0
TMDPK	0.0	0.0	1000.0
ENO	-1000.0	11.103700028072714	1000.0
UAGCVT	0.0	0.02036446938267368	1000.0
TRPS2	0.0	0.0	1000.0
AROH	0.0	0.0	1000.0
PHETA1	-1000.0	-0.04686084313042707	1000.0
LDH_L	-1000.0	0.0	1000.0
ALDD2x	0.0	0.0	1000.0
GLYCLTDx	-1000.0	-9.000357974961094e-13	1000.0
NTPP9	0.0	0.0	1000.0
NDPK9	-1000.0	0.0	1000.0
TYRTA	-1000.0	-0.027006620527415683	1000.0
ACCOAC	0.0	0.28307447240206873	1000.0
ALCD2x	0.0	6.988476631489147	1000.0
ALCD2y	0.0	0.0	1000.0
GF6PTA	0.0	0.0653790555527267	1000.0
G3PD1ir	0.0	0.11635035084480247	1000.0
G3PD2	0.0	0.0	1000.0
GLYK	0.0	0.0	1000.0
HSOR	0.0	0.23158287026860414	1000.0
SULR_ferr	0.0	0.0	1000.0
HEX7	0.0	0.0	1000.0
KHK	0.0	0.0	1000.0
FPGLP	0.0	0.0	1000.0
SBTD_D2	-1000.0	0.0	1000.0
MAN1PT	0.0	0.0	1000.0
CYSTA	0.0	0.24842695858352756	1000.0
CYSS	0.0	0.0	1000.0
AMPTASECG	-1000.0	0.0	1000.0
ALDD22x	0.0	0.0	1000.0
PTA2	-1000.0	0.0	1000.0
MCITS	0.0	0.0	1000.0
DHFR2i	0.0	0.0	1000.0
THFOR1	0.0	0.005505595134690431	1000.0
DHFR	0.0	0.0	1000.0
THFOR2	0.0	0.0	1000.0
THFGLUS	0.0	0.0	1000.0
FTHFLi	0.0	0.03965003846243265	1000.0
GHMT2r	-1000.0	-0.1495283640852555	1000.0
METS	0.0	0.019922218053913202	1000.0
GLGC	0.0	0.0	0.0
CEPA	0.0	2.921443835972619	1000.0
G1PCTYT	0.0	0.0	1000.0
ITCY	0.0	0.0	1000.0
URIK1	0.0	0.0	1000.0
UPPRT	0.0	0.0	1000.0
UTUP	0.0	0.0	1000.0
URIK2	0.0	0.0	1000.0
URIK3	0.0	0.0	1000.0
ANS	0.0	0.004965716826969161	1000.0
MMOR	0.0	0.0779652771277722	1000.0
SHSL4	0.0	0.0	1000.0
2HBO	0.0	0.0	1000.0
DOLPMT	0.0	0.0	1000.0
TPI	-1000.0	-5.528769425705718	1000.0
MGSA	0.0	0.0	1000.0
PRPPS	0.0	0.04959786575777927	1000.0
ADPRDP	0.0	0.0	1000.0
RPI	-1000.0	-0.07883318048481192	1000.0
PPM	-1000.0	-2.6765197781860152e-14	1000.0
GAPD	-1000.0	11.103700028072716	1000.0
DRPA	0.0	-2.514481804218833e-14	1000.0
TGBPA	0.0	0.0	1000.0
ATPPRT	0.01085030457631823	0.01085030457631823	0.01085030457631823
GLUPRT	0.028799733886114398	0.028799733886114398	0.028799733886114398
ANPRT	0.004965716826969161	0.004965716826969161	0.004965716826969161
BACCL	0.0	0.0	1000.0
FUM	-1000.0	-0.05775545843813428	1000.0
ADSL1r	-1000.0	0.0	1000.0
ARGSL	-1000.0	0.028955724552020005	1000.0
LEUTA	0.0	0.07952669292164456	1000.0
ACNMCT	0.0	0.0	1000.0
IPDPTA	-1000.0	0.0	1000.0
IMPC	-1000.0	-0.03965003846243265	1000.0
IMPD	-1000.0	0.010414723735580958	1000.0
NDPK8	0.0	0.0	1000.0
ALAALAr	0.0	0.020364469382673677	1000.0
AGMT	0.0	7.747641268556889e-14	1000.0
LHOR	0.0	0.01085030457631823	1000.0
NHHA	-1000.0	0.0	1000.0
BTCOARx	0.0	0.0	1000.0
POR	0.0	0.0	1000.0
OOR3	0.0	0.0	1000.0
OBFOR	0.0	9.522087133316909	1000.0
DHAD1	0.0	0.16062795873278246	1000.0
IPPS	0.0	0.08611872165095956	1000.0
VALTA	-1000.0	-0.0745092370818229	1000.0
MTHFD	-1000.0	0.028799733886114405	1000.0
MTHFO_nadp	0.0	0.0	1000.0
MOHMT	0.0	0.09530081701053744	1000.0
GPAR	0.0	0.0	1000.0
GMPS	0.010414723735547814	0.010414723735547814	0.010414723735547814
GMPS2	0.0	0.0	1000.0
PRO1x	0.0	0.03625381406794389	1000.0
P5CR	0.0	0.0	1000.0
FACOAL160	0.0	0.0	1000.0
AHSERL2	0.0	0.01992221805393996	1000.0
SHSL2	0.0	0.0	1000.0
ACONT	-1000.0	0.1683494462099604	1000.0
PPNDH	0.0	0.046860843130427064	1000.0
UGE2	-1000.0	0.0	1000.0
HPYRRx	-1000.0	0.0	1000.0
ASPCT	0.0	0.030539135720918046	1000.0
OCBT	-1000.0	0.028955724552019998	1000.0
MTAP	-1000.0	-9.843622035832524e-30	1000.0
NBAH	0.0	0.0	1000.0
THRS	0.0	0.051814035334024656	1000.0
PGK	0.0	11.103700028072716	1000.0
PGLYDH	0.0	0.0	1000.0
GLYPT	0.0	0.0	1000.0
PGM	-1000.0	11.103700028072716	1000.0
RPE	-1000.0	-0.0788331804848119	1000.0
2D3DGLNR	-1000.0	0.0	1000.0
DADK	0.0	0.0	1000.0
DATCY	0.0	0.0	1000.0
DATUP	0.0	0.0	1000.0
PUNP1	-1000.0	0.029235314726824935	1000.0
ABGPT	0.0	0.0	1000.0
ACOATA	0.0	0.035937188879168865	1000.0
ACPS1	0.0	0.0	1000.0
MCOATA	0.0	0.28307447240206873	1000.0
XYLK	-1000.0	0.0	1000.0
MTHFC	0.0	0.0	1000.0
DMATT	0.0	-5.704283776206644e-34	1000.0
DCMPDA	0.0	0.0	1000.0
CYTK2	0.0	0.0	1000.0
CHRS	0.0	0.0788331804848119	1000.0
CHORM	0.0	0.07386746365784275	1000.0
NAMNPP	0.0	0.0	1000.0
PPND	0.0	0.027006620527415672	1000.0
GLYALDDr	-1000.0	0.0	1000.0
HSDxi	0.0	0.07173625338796462	1000.0
HSDH	0.0	0.0	1000.0
HSST	0.0	0.0	1000.0
CDGPT	0.0	0.004078798212163344	1000.0
ACNPLYS	0.0	-2.8451166100503116e-17	1000.0
PMANM	-1000.0	0.0	1000.0
MPAKI	-1000.0	0.0	1000.0
DPHS	0.0	0.0788331804848119	1000.0
NTPP1	0.0	0.0	1000.0
NTPP5	0.0	0.0	1000.0
NTPP6	0.0	0.0	1000.0
NTPP7	0.0	0.0	1000.0
NTPP8	0.0	0.0	1000.0
NTPTP1	0.0	0.0	1000.0
