FBA results
model: iCTH669

time to solve: 0:00:00.026521
status: optimal
objective value: 12015.23850940

reaction	lb	level	ub
----------------------------------------------------------------------------------
protein_biomass	0.0	0.2819794069994841	1000.0
NA_biomass	0.0	0.281979407	1000.0
lipid_biomass	0.0	0.28197940699999996	1000.0
glyco_biomass	0.0	0.281979407	1000.0
other_biomass	0.0	0.281979407	1000.0
BIOMASS	0.281979407	0.281979407	0.281979407
PPA	0.0	0.0	1000.0
ACLS	0.0	0.22823476365114492	1000.0
PDHam1hi	0.0	0.11078013279030174	1000.0
ECH	0.0	2.8728127845830906	1000.0
AHEXASE3	0.0	0.0	1000.0
CLBH	0.0	0.0	0.0
PPBNGS	0.0	0.0	1000.0
HMBS	0.0	0.0	1000.0
ATPS	-1000.0	-1.2815314677242635	1000.0
NADK	0.0	0.00034559670725766616	1000.0
ADK1	-1000.0	-7.796287784829105	1000.0
ADK2	-1000.0	0.0	1000.0
DPCOAK	0.0	0.0	1000.0
UREA	0.0	0.0	1000.0
NMNAT	-1000.0	0.0	1000.0
HAMR	-1000.0	0.0	1000.0
NDPK2	-1000.0	0.1993367001005954	1000.0
UMPK	-1000.0	0.10114184335805328	1000.0
FMNAT	0.0	0.0	1000.0
METAT	0.0	0.0	1000.0
R00182	-1000.0	-0.04154018532878836	1000.0
BPNT	0.0	0.32905393373648306	1000.0
ADPT	0.0	0.0	1000.0
AHCi	0.0	0.0	1000.0
PPDK	-1000.0	9.869927530607077	1000.0
PFL	-1000.0	8.532337338398984	1000.0
ME2	0.0	0.08206419068012885	1000.0
ACALD	0.0	0.0	1000.0
ACALDy	0.0	0.0	1000.0
PTAr	-1000.0	7.485501300585055	1000.0
GLU5K	0.0	0.051512705201058974	1000.0
GLUDy	-1000.0	-1.9756663788021647	1000.0
GLNS	0.0	0.3166162682095049	1000.0
NADS2	0.0	0.005226447098375831	1000.0
ACGS	0.0	0.0	1000.0
ICDHyr	0.0	0.23920615296160724	1000.0
OXSCL	0.0	0.0	1000.0
GALU	-1000.0	0.07087028819023544	1000.0
ACKr	-1000.0	7.485501300585055	1000.0
NDPK1	-1000.0	0.0	1000.0
GK1	-1000.0	0.014639117964898153	1000.0
PPGPPDP	0.0	0.0	1000.0
CS	0.0	0.23920615296160724	1000.0
ASPTA	0.0	0.4966139482696554	1000.0
AGT	-1000.0	-0.2604809137010328	1000.0
GLYAT	-1000.0	0.0	1000.0
GLYTA	-1000.0	-0.2604809137010328	1000.0
ALAR	0.0	0.09964013738580002	1000.0
UAG2EMA	0.0	0.0	1000.0
UAGP2UAG	0.0	0.09289648831705982	1000.0
UAG4Ei	0.0	0.026602522915748283	1000.0
UAG2E	0.0	0.002210864229128697	1000.0
GTPCII2	0.0	0.0	1000.0
NTPP2	0.0	0.0	1000.0
NTPP3	0.0	0.0	1000.0
NTPP4	0.0	0.0	1000.0
NTPH	0.0	0.0	1000.0
GTPDPK	0.0	0.0	1000.0
PEPCK_re	0.0	0.7358201012312626	1000.0
DAPDC	0.0	0.10627619165457808	1000.0
LYSDC	0.0	0.0	1000.0
HOGL	-1000.0	0.0	1000.0
ASPK	0.0	0.23714124690064856	1000.0
ASNS2	0.0	0.05504049544785842	1000.0
ASP1DC	0.0	0.0	1000.0
ADSK	0.0	0.329053933736483	1000.0
CYTK1	-1000.0	0.1506719356438651	1000.0
CYTDK1	0.0	0.0	1000.0
UTCY	0.0	0.0	1000.0
CYTDK2	0.0	0.0	1000.0
SADT	0.0	0.32905393373648306	1000.0
RBFK	0.0	0.0	1000.0
DCTPD2	0.0	0.0	1000.0
NDPK3	-1000.0	0.15059381386218407	1000.0
CTPS1	0.0	0.017001665413836246	1000.0
CTPS2	0.0	0.0	1000.0
CBPS	0.0	0.08453569029947199	1000.0
ASNS1	0.0	0.0	1000.0
PSP	-1000.0	1.305761942799485e-13	1000.0
SERAT	0.0	0.0	1000.0
TMDPPK	0.0	0.0	1000.0
TMDPK	0.0	0.0	1000.0
ENO	-1000.0	10.858709973290777	1000.0
UAGCVT	0.0	0.028935684006095565	1000.0
TRPS2	0.0	0.0	1000.0
AROH	0.0	0.0	1000.0
PHETA1	-1000.0	-0.06658413372499125	1000.0
LDH_L	-1000.0	0.0	1000.0
ALDD2x	0.0	0.0	1000.0
GLYCLTDx	-1000.0	0.0	1000.0
NTPP9	0.0	0.0	1000.0
NDPK9	-1000.0	0.0	1000.0
