pFBA knockout results
model: iCBI665

time to solve: 0:00:00.020000
objective value: 11.38637719
ethanol maximization reaction flux profile

reaction	lb	level	ub
----------------------------------------------------------------------------------
PPA	0.0	4.959109668091568	1000.0
ACLS	0.0	0.014004191213131897	1000.0
PDHam1hi	0.0	0.007498306915056435	1000.0
ECH	-1000.0	0.0	1000.0
AHEXASE3	0.0	0.0	1000.0
CLBH	0.0	0.0	1000.0
PPBNGS	0.0	0.0	1000.0
HMBS	0.0	0.0	1000.0
ATPS	0.0	0.0	1000.0
GLUS	0.0	0.0	1000.0
NADK	0.0	0.0006020257212112564	1000.0
GLUSy	0.0	0.0	1000.0
ADK1	0.0	0.0	1000.0
DPCOAK	0.0	0.0	1000.0
UREA	0.0	0.0	1000.0
NMNAT	0.0	0.0	1000.0
HAMR	-1000.0	0.0	1000.0
NDPK2	0.0	0.02019796499946932	1000.0
UMPK	0.0	0.014305608459465801	1000.0
FMNAT	0.0	0.0	1000.0
METAT	0.0	0.0	1000.0
NTD7	0.0	0.0	1000.0
BPNT	0.0	0.0032572321253635833	1000.0
ADPT	0.0	0.0	1000.0
AHCi	0.0	0.0	1000.0
PPDK	0.0	11.55128290407766	1000.0
PFL	0.0	0.36225233225547143	1000.0
ME2	-1000.0	-0.05595634229633582	1000.0
ACALD	0.0	11.386377192628297	1000.0
PTAr	-1000.0	0.0	1000.0
ACS	0.0	0.0	0.0
ACADCOAT	0.0	0.0	0.0
GLU5K	0.0	0.0031256401090765983	1000.0
GLUDy	-1000.0	-0.1496156718472111	1000.0
OPAH	-1000.0	0.0	1000.0
GLNS	0.0	0.03322917589635508	1000.0
NADS2	0.0	0.001621031402195814	1000.0
ALATA_L	-1000.0	-0.013431023887850092	1000.0
ACGS	0.0	-1.5364140182239036e-18	1000.0
ICDHyr	0.0	0.018254439069260532	1000.0
OXSCL	0.0	0.0	1000.0
GALU	-1000.0	0.007886417000703373	1000.0
HEX1	0.0	2.9214438359726205	1000.0
ACKr	0.0	0.0	1000.0
ACADT	0.0	0.0	0.0
NDPK1	-1000.0	0.004170380129653031	1000.0
GK1	-1000.0	0.0008193834916263839	1000.0
PPGPPDP	0.0	0.0	1000.0
PC	0.0	0.0	1000.0
CS	0.0	0.018254439069260532	1000.0
ASPTA	-1000.0	-0.04828292201319123	1000.0
AGT	-1000.0	0.0	1000.0
GLYAT	-1000.0	0.0	1000.0
GLYTA	-1000.0	0.0	1000.0
ALAR	0.0	0.005457629520975753	1000.0
UAG2EMA	0.0	0.0	1000.0
UAGP2UAG	0.0	0.007225399083300242	1000.0
UAG4Ei	0.0	0.0020636783775181	1000.0
UAG2E	0.0	0.00017172575467596691	1000.0
GTPCII2	0.0	0.0	1000.0
NTPP2	0.0	0.0	1000.0
NTPH	0.0	0.0	1000.0
GTPDPK	0.0	0.0	1000.0
PEPCK_re	-1000.0	0.0	1000.0
DAPDC	0.0	0.007197275733481666	1000.0
LYSDC	0.0	0.0	1000.0
HOGL	-1000.0	0.0	1000.0
ASPK	0.0	0.016244193908577648	1000.0
ASNS2	0.0	0.004878358664158777	1000.0
ASP1DC	0.0	0.0	1000.0
ADSK	0.0	0.0032572321253635833	1000.0
NTD4	0.0	0.0	1000.0
CYTK1	-1000.0	0.008283542769038924	1000.0
CYTDK1	0.0	0.0	1000.0
UTCY	0.0	0.0	1000.0
CYTDK2	0.0	0.0	1000.0
SADT	0.0	0.003257232125363583	1000.0
RBFK	0.0	0.0	1000.0
DCTPD2	0.0	0.0	1000.0
NDPK3	-1000.0	0.008267186337562436	1000.0
CTPS1	0.0	0.004192492877189156	1000.0
CTPS2	0.0	0.0	1000.0
CBPS	0.0	0.01367850905722515	1000.0
ASNS1	0.0	0.0	1000.0
PSP	0.0	0.017696961557060357	1000.0
SPTc	-1000.0	0.0	1000.0
SERAT	0.0	0.0010361821413811807	1000.0
SGAT	0.0	0.0	1000.0
TDP	0.0	0.0	1000.0
TMDPPK	0.0	1.6122702095665356e-18	1000.0
TMDPK	0.0	0.0	1000.0
ENO	-1000.0	11.58694634100882	1000.0
UAGCVT	0.0	0.0022472814178200735	1000.0
NTTP8	0.0	0.0	1000.0
TRPS2	0.0	0.0	1000.0
AROH	0.0	0.0	1000.0
PHETA1	-1000.0	-0.012097328853170886	1000.0
LDH_L	0.0	0.0	1000.0
ALDD2x	0.0	0.0	1000.0
ALDD2y	0.0	0.0	1000.0
GLYCLTDx	-1000.0	0.0	1000.0
NTPP9	0.0	0.0	1000.0
NDPK9	0.0	0.0	1000.0
TYRTA	-1000.0	-0.0037738933878910443	1000.0
ACCOAC	0.0	0.0	1000.0
ALCD2x	0.0	11.386377192628297	1000.0
G6PDA_1	0.0	0.0	1000.0
GF6PTA	0.0	0.007225399083300242	1000.0
CYSDS	0.0	0.0	1000.0
G3PD1ir	0.0	0.0	1000.0
G3PD2	0.0	0.0	1000.0
GLYK	0.0	1.0065496293223282e-05	1000.0
HSOR	0.0	0.0032572321253635838	1000.0
SULR_ferr	0.0	0.0	1000.0
HEX7	0.0	0.0	1000.0
SBTD_D2	0.0	0.0	1000.0
MAN1PT	0.0	0.0	1000.0
CYSTA	0.0	0.0	1000.0
CYSS	0.0	0.0010361821413811807	1000.0
AMPTASECG	-1000.0	0.0	1000.0
ALDD22x	0.0	0.0	1000.0
PCMT	0.0	0.0	1000.0
PTA2	0.0	0.0	1000.0
PACPT	0.0	0.0	0.0
MCITS	0.0	0.0	1000.0
DHFR2i	0.0	0.0	1000.0
THFOR1	0.0	0.0	1000.0
DHFR	0.0	0.0	1000.0
THFOR2	0.0	0.00038337179741381903	1000.0
THFGLUS	0.0	0.0	1000.0
FTHFLi	0.0	0.001010207421846241	1000.0
GHMT2r	-1000.0	-0.009172288566854328	1000.0
METS	0.0	0.002221049983982403	1000.0
GLGC	0.0	12.336727942640053	1000.0
CEPA	0.0	2.9214438359726205	1000.0
G1PCTYT	0.0	0.0	1000.0
ITCY	0.0	0.0	1000.0
NTD2	0.0	0.0	1000.0
URIK1	0.0	0.0	1000.0
UPPRT	0.0	0.0	1000.0
UTUP	0.0	0.0	1000.0
URIK2	0.0	0.0	1000.0
URIK3	0.0	0.0	1000.0
ANS	0.0	0.0008368555156087026	1000.0
MMOR	0.0	0.007498306915056435	1000.0
SHSL4	0.0	0.0	1000.0
2HBO	0.0	0.0	1000.0
CYSTGL	0.0	0.0	1000.0
DOLPMT	0.0	0.0	1000.0
TPI	-1000.0	-5.809446746702374	1000.0
MGSA	0.0	0.0	1000.0
PRPPS	0.0	0.016708077756670638	1000.0
ADPRDP	0.0	11.5158180660104	1000.0
RPI	-1000.0	-0.016708077756670638	1000.0
PPM	-1000.0	0.0	1000.0
GAPD	-1000.0	11.604643302565876	1000.0
DRPA	0.0	0.0	0.0
TGBPA	0.0	0.0	1000.0
ATPPRT	0.0	0.0012764616515238735	1000.0
GLUPRT	0.0	0.003150806277890236	1000.0
ANPRT	0.0	0.0008368555156087026	1000.0
BACCL	0.0	0.0	1000.0
FUM	-1000.0	-0.010581018786115927	1000.0
ADSL1r	-1000.0	0.0035746263604522	1000.0
ARGSL	-1000.0	0.003855586147773491	1000.0
LEUTA	0.0	0.007670270180127388	1000.0
ACNMCT	0.0	0.0	1000.0
IPDPTA	-1000.0	0.0	1000.0
NTD11	0.0	0.0	1000.0
IMPC	-1000.0	-0.0044272679294141085	1000.0
IMPD	-1000.0	0.0008526415689619094	1000.0
ADSS	0.0	0.0035746263604522	1000.0
NDPK8	0.0	0.0	1000.0
ALAALAr	0.0	0.0022472814178200735	1000.0
AGMT	0.0	0.0	1000.0
LHOR	0.0	0.001276461651523873	1000.0
NHHA	-1000.0	0.0	1000.0
BTCOARx	0.0	-1.9527184088262257e-15	1000.0
POR	0.0	11.068030507745931	1000.0
OOR3	0.0	0.0	1000.0
OBFOR	0.0	0.0	1000.0
DHAD1	0.0	0.014004191213131895	1000.0
IPPS	0.0	0.007670270180127387	1000.0
VALTA	-1000.0	-0.006333921033004509	1000.0
MTHFD	-1000.0	0.006567866785458106	1000.0
MTHFO_nadp	0.0	0.002221049983982403	1000.0
MOHMT	0.0	0.0	1000.0
NTD9	0.0	0.0	1000.0
GPAR	0.0	0.0	1000.0
GMPS	0.0	0.0008526415689619093	1000.0
GMPS2	0.0	0.0	1000.0
PRO1x	0.0	0.0	1000.0
P5CR	0.0	0.003125640109076598	1000.0
FACOAL160	0.0	0.0	1000.0
CYSTL	0.0	0.0	1000.0
AHHST	0.0	0.0022210499839824035	1000.0
SHSL2	0.0	0.0	1000.0
ACONT	-1000.0	0.018254439069260532	1000.0
PPNDH	0.0	0.012097328853170884	1000.0
UGE2	-1000.0	0.0	1000.0
HPYRRx	-1000.0	0.0	1000.0
ASPCT	0.0	0.00982292290945166	1000.0
OCBT	-1000.0	0.0038555861477734907	1000.0
MTAP	-1000.0	0.0	1000.0
NBAH	0.0	0.0	1000.0
THRS	0.0	0.004578586773293507	1000.0
PGK	0.0	11.604643302565878	1000.0
PGLYDH	0.0	0.017696961557060357	1000.0
GLYPT	0.0	0.0	1000.0
PGM	-1000.0	-11.58694634100882	1000.0
RPE	-1000.0	-0.016708077756670634	1000.0
2D3DGLNR	-1000.0	0.0	1000.0
DADK	0.0	0.0	1000.0
DATCY	0.0	0.0	1000.0
DATUP	0.0	0.0	1000.0
PUNP1	-1000.0	0.0	1000.0
NTD5	0.0	0.0	1000.0
ABGPT	0.0	0.0	1000.0
ACOATA	0.0	0.0	1000.0
ACPS1	0.0	0.0	1000.0
MCOATA	0.0	0.0	1000.0
XYLK	-1000.0	0.0	1000.0
MTHFC	-1000.0	0.0034170605075678692	1000.0
DMATT	0.0	0.0	1000.0
DCMPDA	-1000.0	0.0	1000.0
NTD3pp	0.0	0.0	1000.0
CYTK2n	0.0	0.0	1000.0
CHRS	0.0	0.01670807775667063	1000.0
CHORM	0.0	0.015871222241061928	1000.0
ADCS	0.0	0.0	1000.0
NAMNPP	0.0	0.0	1000.0
PPND	0.0	0.003773893387891045	1000.0
GLYALDDr	-1000.0	0.0	1000.0
HSDxi	0.0	0.0	1000.0
HSDH	0.0	0.00679963675727591	1000.0
HSST	0.0	0.0	1000.0
CDGPT	0.0	0.0004581478396132134	1000.0
ACNPLYS	0.0	0.0	1000.0
PMANM	-1000.0	0.0	1000.0
MPAKI	-1000.0	0.0	1000.0
DPHS	0.0	0.01670807775667063	1000.0
NTPP1	0.0	0.0	1000.0
NTPTP1	0.0	0.0	1000.0
NDPK5	0.0	0.0002111988345034219	1000.0
PPCOAC	0.0	0.0	1000.0
PUNP5	-1000.0	0.0	1000.0
DHORD_NAD	0.0	0.009822922909451661	1000.0
QUINDH	0.0	0.0	1000.0
CYTD	0.0	0.0	1000.0
DGTUP	0.0	0.0	1000.0
XYLTD_D	0.0	0.0	1000.0
SPMS	0.0	0.0	1000.0
SALCCM	-1000.0	0.0	1000.0
ARGSS	-1000.0	0.003855586147773491	1000.0
NTD8	0.0	0.0	1000.0
PUNP4	-1000.0	0.0	1000.0
HBCO	-1000.0	0.0	1000.0
AABHH	0.0	0.0	1000.0
DHR	-1000.0	-0.00982292290945166	1000.0
RDXR	-1000.0	0.0	1000.0
RNTR1	0.0	0.00038337179741381903	1000.0
TRDR	0.0	0.004446373389198065	1000.0
RNDR1n	0.0	0.0	1000.0
RNDR4n	0.0	0.0005945706319172409	1000.0
RNDR2	0.0	0.00021119883450342188	1000.0
RNTR2	0.0	0.0	1000.0
PAPSR	0.0	0.0032572321253635833	1000.0
RNTR3	0.0	0.0	1000.0
RNTR4	0.0	0.0	1000.0
RNDR3	0.0	0.0	1000.0
CLS2	0.0	0.0	1000.0
AGDC	0.0	0.0	1000.0
PGAMT	-1000.0	-0.007225399083300243	1000.0
FRTT	-1000.0	0.0	1000.0
F6PPT	0.0	5.811067778104565	1000.0
NTD6	0.0	0.0	1000.0
DGTCY	0.0	0.0	1000.0
NDPK4	0.0	0.00038337179741381903	1000.0
DTTGY	0.0	0.0	1000.0
DTTUP	0.0	0.0	1000.0
DUTPDP	0.0	0.000383371797413819	1000.0
TMDS	0.0	0.00038337179741381903	1000.0
PUNP3	-1000.0	0.0	1000.0
ILETA	-1000.0	-0.007498306915056435	1000.0
DHFOR	0.0	0.0003833717974138191	1000.0
DHFOR2	0.0	0.0	1000.0
DHFS	0.0	0.0	1000.0
PPROR	-1000.0	0.0	1000.0
FCLPA	0.0	0.0	1000.0
G1SAT	-1000.0	0.0	1000.0
ORNTAC	-1000.0	0.0038555861477734907	1000.0
ACOTA	-1000.0	-0.0038555861477734903	1000.0
ASAD	-1000.0	-0.016244193908577648	1000.0
ASAHL	0.0	0.00944455715130174	1000.0
PNP	-1000.0	0.0	1000.0
NP1	-1000.0	0.0	1000.0
PYNP1	-1000.0	0.0	1000.0
PUNP7	-1000.0	0.0	1000.0
FTCL	0.0	0.0	1000.0
NMNR	0.0	0.0	1000.0
RNMK	0.0	0.0	1000.0
DCTPD	-1000.0	-0.0002111988345034219	1000.0
NDPK7	0.0	0.0	1000.0
DCTUP	0.0	0.0	1000.0
NDPK6	0.0	0.0005945706319172409	1000.0
DUTUP	0.0	0.0	1000.0
TRPS3	0.0	0.0	1000.0
DCTCP	0.0	0.0	1000.0
DUTCP	0.0	0.0	1000.0
CTINBL	0.0	0.0	1000.0
SKDH	0.0	0.0	1000.0
CDPGLC46DH	0.0	0.0	1000.0
AATC	-1000.0	0.0	1000.0
PANTS	0.0	0.0	1000.0
DURIPP	-1000.0	0.0	1000.0
DCYTD	0.0	0.0	1000.0
PACCOAL	0.0	0.0	1000.0
PUNP2	-1000.0	0.0	1000.0
3SALATA	-1000.0	0.0	1000.0
